municipio;lat;lng;url_maps
BOIMORTO;43.01054061204069;-8.119316502784153;https://www.google.com/maps?q=...843.01054061204069,-8.119316502784153
BOIRO;42.70112038923246;-8.887730976324832;https://www.google.com/maps?q=...842.70112038923246,-8.887730976324832
BOQUEIXON-CASANOVA;42.831414462390875;-8.411724134380563;https://www.google.com/maps?q=...842.831414462390875,-8.411724134380563
BOVEDA;42.646746840890444;-7.492192020972682;https://www.google.com/maps?q=...842.646746840890444,-7.492192020972682
BRION;42.84326997955816;-8.714986252157606;https://www.google.com/maps?q=...842.84326997955816,-8.714986252157606
BUEU;42.32681648421821;-8.800001175397904;https://www.google.com/maps?q=...842.32681648421821,-8.800001175397904
BURELA;43.66192928341184;-7.380150294721171;https://www.google.com/maps?q=...843.66192928341184,-7.380150294721171
CABANA DE BERGANTINOS;43.19599260970328;-8.865120669232981;https://www.google.com/maps?q=...843.19599260970328,-8.865120669232981
CABANAS;43.459692740892876;-8.214522223132516;https://www.google.com/maps?q=...843.459692740892876,-8.214522223132516
CALDAS DE REIS;42.610980807673435;-8.673785946399997;https://www.google.com/maps?q=...842.610980807673435,-8.673785946399997
CALVOS DE RANDIN;41.95638425678369;-7.862101085782855;https://www.google.com/maps?q=...841.95638425678369,-7.862101085782855
CAMARINAS;43.16835673523996;-9.101611731264454;https://www.google.com/maps?q=...843.16835673523996,-9.101611731264454
CAMBADOS;42.503891115290784;-8.79723639053952;https://www.google.com/maps?q=...842.503891115290784,-8.79723639053952
CAMBRE;43.276936598368174;-8.325096569959669;https://www.google.com/maps?q=...843.276936598368174,-8.325096569959669
CAMPO LAMEIRO;42.51799906527108;-8.546637393045996;https://www.google.com/maps?q=...842.51799906527108,-8.546637393045996
CANGAS;42.27864140665148;-8.803129031449284;https://www.google.com/maps?q=...842.27864140665148,-8.803129031449284
CARBALLEDA DE AVIA;42.324571107675155;-8.182285427081544;https://www.google.com/maps?q=...842.324571107675155,-8.182285427081544
CARBALLEDA DE VALDEORRAS;42.35826902261327;-6.923134868535652;https://www.google.com/maps?q=...842.35826902261327,-6.923134868535652
CARBALLEDO;42.526947549011545;-7.788470680023216;https://www.google.com/maps?q=...842.526947549011545,-7.788470680023216
CARBALLO;43.20199355325462;-8.664222260209778;https://www.google.com/maps?q=...843.20199355325462,-8.664222260209778
CARINO;43.7497396316899;-7.879165114803612;https://www.google.com/maps?q=...843.7497396316899,-7.879165114803612
CARNOTA;42.85073644466812;-9.090453790498039;https://www.google.com/maps?q=...842.85073644466812,-9.090453790498039
CARRAL;43.206290346489254;-8.358500586794339;https://www.google.com/maps?q=...843.206290346489254,-8.358500586794339
CARTELLE;42.23760542226177;-8.010245464706086;https://www.google.com/maps?q=...842.23760542226177,-8.010245464706086
CASTRELO DE MINO;42.28916606764597;-8.054458927480669;https://www.google.com/maps?q=...842.28916606764597,-8.054458927480669
CASTRELO DO VAL;42.05499276544971;-7.358143933905853;https://www.google.com/maps?q=...842.05499276544971,-7.358143933905853
CASTRO CALDELAS;42.37262975041858;-7.403740793717336;https://www.google.com/maps?q=...842.37262975041858,-7.403740793717336
CASTRO DE REI;43.16777126459176;-7.4566000898477895;https://www.google.com/maps?q=...843.16777126459176,-7.4566000898477895
CASTROVERDE;43.034790948806595;-7.327819559936646;https://www.google.com/maps?q=...843.034790948806595,-7.327819559936646
CATOIRA;42.65645143829202;-8.71115988736719;https://www.google.com/maps?q=...842.65645143829202,-8.71115988736719
CEDEIRA;43.691102453442035;-8.041462062644944;https://www.google.com/maps?q=...843.691102453442035,-8.041462062644944
